"level_0","level_1","level_2","color","fontface","study_label","n.e","left_lab","est","lower","upper","formatted_pred","sr_default","sr_2019","sr_2024"
"Model 3","peri","ART initiated before last month","black","bold","Modelled",NA,"20",1.04391032100976,0.821834482251474,1.30844908195392,"1.04 (0.82, 1.31)","","",""
"Model 1","peri","CD4 midpoint [200-350]","black","bold","Modelled",NA,"275",25.0673996482832,21.3812913730196,28.8780496950724,"25.1 (21.4, 28.9)","","",""
"Model 1","bf","CD4 midpoint [200-350]","black","bold","Modelled",NA,"275",0.904634813037674,0.489224985872602,1.73492713147938,"0.90 (0.49, 1.73)","","",""
"Model 3","peri","ART initiated preconception","black","bold","Modelled",NA,"40",0.33216836883803,0.228092493533986,0.481472112117206,"0.33 (0.23, 0.48)","","",""
"Model 1","peri","CD4 midpoint >350","black","bold","Modelled",NA,"500",16.6325157285467,13.9333510676823,19.6590709378559,"16.6 (13.9, 19.7)","","",""
"Model 1","bf","CD4 midpoint >350","black","bold","Modelled",NA,"500",0.787977917079277,0.430216883867338,1.43316474865056,"0.79 (0.43, 1.43)","","",""
"Model 2","bf","Dual ARV","black","bold","Modelled",NA,NA,0.200788812172675,0.0557347814709173,0.743320104222479,"0.20 (0.06, 0.74)","","",""
"Model 2","peri","Dual ARV","black","bold","Modelled",NA,NA,3.11768672215014,2.08164334002395,4.6928963714702,"3.1 (2.1, 4.7)","","",""
"Model 2","bf","Infection","black","bold","Modelled",NA,NA,28.2898259068899,20.8166875929366,37.1970597141465,"28.3 (20.8, 37.2)","","",""
"Model 2","peri","Infection","black","bold","Modelled",NA,NA,18.120260538608,12.8386623923591,25.1827277618087,"18.1 (12.8, 25.2)","","",""
"Model 4","bf","ART initiated preconception","black","bold","Modelled",NA,NA,0.0166093615531406,0.00396776823659225,0.0612798739916894,"0.02 (0.00, 0.06)","","",""
"Model 2","bf","Option A","black","bold","Modelled",NA,NA,0.206474235861611,0.0627076439770627,0.627200313763984,"0.21 (0.06, 0.63)","","",""
"Model 2","peri","Option A","black","bold","Modelled",NA,NA,3.12259101478511,2.33678033026199,4.19165462537386,"3.1 (2.3, 4.2)","","",""
"Model 2","bf","Option B","black","bold","Modelled",NA,NA,0.138806201155691,0.0661281689213136,0.298892233508482,"0.14 (0.07, 0.30)","","",""
"Model 2","peri","Option B","black","bold","Modelled",NA,NA,1.76517797372473,1.37635266757251,2.25809767948097,"1.8 (1.4, 2.3)","","",""
"Model 2","peri","SDNVP","black","bold","Modelled",NA,NA,8.31417532447073,5.94448445361181,11.3252559232635,"8.3 (5.9, 11.3)","","",""
"Model 2","bf","SDNVP, >350","black","bold","Modelled",NA,NA,0.352936456409421,0.0609016287300906,1.93786815351072,"0.35 (0.06, 1.94)","","",""
"Model 2","bf","SDNVP, <350","black","bold","Modelled",NA,NA,0.894998858276227,0.160897504489297,4.45017823639596,"0.89 (0.16, 4.45)","","",""
"Model 4","bf","ART initiated during pregnancy","black","bold","Modelled",NA,NA,0.128491840459724,0.0765548055656752,0.216970057130382,"0.13 (0.08, 0.22)","","",""
